[8642, 7.409297789075971e-05]
[3147, 7.410357665209519e-05]
[7542, 7.410890258012265e-05]
[5219, 7.411106667997493e-05]
[7282, 7.41112442088213e-05]
[7081, 7.411758377986547e-05]
[139, 7.413172577252091e-05]
[7272, 7.413794043404365e-05]
[427, 7.413951622280756e-05]
[9237, 7.414347365323984e-05]
[3053, 7.414434714739759e-05]
[4067, 7.414975241790948e-05]
[1945, 7.415086288693492e-05]
[1554, 7.416699190888621e-05]
[9177, 7.416699923139391e-05]
[1104, 7.417050436111924e-05]
[5180, 7.417990061250887e-05]
[8426, 7.420040756837089e-05]
[9271, 7.420081927351523e-05]
[7517, 7.420383703540728e-05]
[6488, 7.420384168297993e-05]
[4428, 7.420841147471306e-05]
[3646, 7.422120611283343e-05]
[3832, 7.423080991862717e-05]
[7965, 7.423962312289485e-05]
[2109, 7.423987657747896e-05]
[1187, 7.424148815427104e-05]
[7873, 7.424773834297366e-05]
[6188, 7.425092126721668e-05]
[9056, 7.425374047881155e-05]
[2233, 7.425638800380982e-05]
[8954, 7.425779561612732e-05]
[6076, 7.426263852368284e-05]
[6654, 7.42647425730623e-05]
[9472, 7.42654431338312e-05]
[6145, 7.427059615416258e-05]
[9277, 7.427683571976456e-05]
[7934, 7.42832339580545e-05]
[2461, 7.428614264459477e-05]
[3356, 7.428998830307625e-05]
[7392, 7.429005406547408e-05]
[10177, 7.429692001289945e-05]
[434, 7.429798496458052e-05]
[8039, 7.430194124731909e-05]
[5773, 7.430614741851577e-05]
[7475, 7.431192495734622e-05]
[9745, 7.431998363391198e-05]
[8745, 7.432185569996505e-05]
[9343, 7.43258865740252e-05]
[5182, 7.433766930944384e-05]
[8289, 7.433962670020206e-05]
[2669, 7.4342331881172e-05]
[5275, 7.434272372654621e-05]
[7022, 7.435008007521533e-05]
[8127, 7.435601272583748e-05]
[8552, 7.436272792644622e-05]
[667, 7.436728387962421e-05]
[553, 7.437222447708792e-05]
[8528, 7.437508301165384e-05]
[4319, 7.438385484992866e-05]
[6527, 7.439101314997956e-05]
[7997, 7.439175958598367e-05]
[1972, 7.440265799929096e-05]
[5413, 7.44063354999148e-05]
[8227, 7.440927231292928e-05]
[1864, 7.442098281272263e-05]
[1662, 7.443853682435618e-05]
[4836, 7.4441548450169e-05]
[9079, 7.445157733160481e-05]
[6759, 7.446144232525327e-05]
[2180, 7.447279364841289e-05]
[3252, 7.448057415464576e-05]
[2263, 7.448232895151725e-05]
[3819, 7.449190138113449e-05]
[5050, 7.449821815093727e-05]
[6276, 7.450495662506999e-05]
